,flags,time/s,control/V,Ewe/V,I/mA,(Q-Qo)/C,I Range,overvoltage,irfree
0,18,3720.015106024439,1.8926337e-05,-0.00025591603,-0.7423154190182686,-9.6343965e-06,39,-0.0003711577095091343,0.00011524167470633982
1,18,3720.1775060203363,0.00063093536,0.00042824598,-0.628005695568107,-0.00011068142,39,-0.00031400284778405354,0.0007422488327332251
2,18,3720.5026060121236,0.0019312431,0.0017351571,-0.4942496999898649,-0.0002874853,39,-0.00024712484999493245,0.0019822819504787077
3,18,3720.827706003911,0.0032315825,0.0030986944,-0.3828001202684286,-0.00042789674,40,-0.00019140006013421428,0.0032900944349190417
4,18,3721.140105996019,0.0044813007,0.0043441593,-0.31590962526858135,-0.00053656474,40,-0.00015795481263429067,0.004502114084202351
5,18,3721.4527059881366,0.0057317526,0.0055903355,-0.26098283153534485,-0.00062631385,40,-0.00013049141576767243,0.005720826881735328
6,18,3721.765305980225,0.0069819386,0.006826572,-0.21562691367772668,-0.00070044235,40,-0.00010781345683886335,0.00693438557702853
7,18,3722.077705972333,0.008231657,0.008069959,-0.17696967744339276,-0.00076144334,40,-8.848483872169639e-05,0.008158443376538697
8,18,3722.3903059644363,0.009482142,0.009313,-0.14322256653053467,-0.0008111413,40,-7.161128326526734e-05,0.009384611649356996
9,18,3722.702805956542,0.010732011,0.0105574075,-0.11502815325215776,-0.000851173,40,-5.751407662607888e-05,0.01061492158988692
10,18,3723.0153059486474,0.011982013,0.0117991,-0.09038556379420953,-0.00088292646,40,-4.5192781897104765e-05,0.011844292637022056
11,18,3723.327905940765,0.013232531,0.013049256,-0.06949303768769766,-0.00090760156,40,-3.474651884384883e-05,0.013084002575391013
12,18,3723.6529059325403,0.014532452,0.014370161,-0.048845374889602944,-0.00092654134,40,-2.4422687444801473e-05,0.014394583796117421
13,18,3723.97790592433,0.015832376,0.015688377,-0.03089817378519022,-0.0009395625,41,-1.544908689259511e-05,0.015703825588095178
14,18,3724.290505916433,0.017082896,0.016918482,-0.0175205957344699,-0.0009470787,41,-8.76029786723495e-06,0.016927242556783136
15,18,3724.6030059085388,0.018332928,0.018150024,-0.005935211554839649,-0.0009506929,41,-2.9676057774198245e-06,0.018152991721816697
16,22,3724.9155059006443,0.019582732,0.019387284,0.006900672219903509,-0.00095048395,41,3.4503361099517544e-06,0.01938383395766084
17,22,3725.2281058927474,0.020833252,0.020636233,0.016881976550269018,-0.00094673445,41,8.440988275134509e-06,0.020627791581538595
18,22,3725.5405058848555,0.022082902,0.021883931,0.027087785729144692,-0.0009398242,41,1.3543892864572346e-05,0.02187038711809696
19,22,3725.853105876973,0.023333192,0.023126222,0.03445047290107617,-0.0009301815,41,1.7225236450538082e-05,0.02310899695679058
20,22,3726.1657058690616,0.02458361,0.024373489,0.041645088325645396,-0.00091825955,41,2.0822544162822697e-05,0.02435266595655148
21,22,3726.4781058611698,0.02583333,0.025626902,0.0474861436809928,-0.0009043159,41,2.3743071840496398e-05,0.025603158465339452
22,22,3726.790705853273,0.02708368,0.026867602,0.05434623723976996,-0.00088837306,41,2.717311861988498e-05,0.026840428901882204
23,22,3727.103305845376,0.028333962,0.028116707,0.05936383025217995,-0.00087058375,41,2.9681915126089974e-05,0.028087024843611474
24,22,3727.415705837484,0.029583683,0.029363189,0.06592888905522765,-0.0008509886,41,3.296444452761382e-05,0.029330224448075308
25,22,3727.7283058296016,0.030834133,0.03060255,0.06914014400209703,-0.00082985737,41,3.457007200104852e-05,0.03056798006206172
26,22,3728.04090582169,0.032084312,0.03185085,0.07411200025701414,-0.00080743665,41,3.7056000128507074e-05,0.031813792346820115
27,22,3728.353305813798,0.033334035,0.033094544,0.07737767172887544,-0.0007837597,41,3.868883586443772e-05,0.033055855127806295
28,22,3728.6659058059013,0.03458449,0.034323405,0.0814581273909365,-0.00075891585,41,4.072906369546825e-05,0.03428267641072889
29,22,3728.978405798014,0.035834428,0.03557384,0.08392093793687994,-0.0007330605,41,4.196046896843997e-05,0.035531879672327946
30,22,3729.2909057901124,0.03708439,0.036812637,0.08721779027204724,-0.0007062967,41,4.360889513602362e-05,0.036769028106139995
31,22,3729.6035057822155,0.038334914,0.03806852,0.08972800381577128,-0.00067863,41,4.486400190788564e-05,0.03802365776594681
32,22,3729.916005774321,0.039584823,0.039310586,0.09284869615672725,-0.0006500894,41,4.6424348078363626e-05,0.03926416135934771
33,22,3730.2285057664267,0.040834744,0.04056036,0.09427031420747456,-0.0006208333,41,4.713515710373728e-05,0.04051322584081153
34,22,3730.5411057585443,0.04208527,0.041807733,0.09677670247712677,-0.00059093756,41,4.8388351238563386e-05,0.041759345124923394
35,22,3730.853505750638,0.04333492,0.043046385,0.09838206193170396,-0.0005604483,41,4.919103096585198e-05,0.042997194018854094
36,22,3731.166105742741,0.04458514,0.044296365,0.10070573046212017,-0.00052931125,41,5.0352865231060086e-05,0.0442460123660445
37,22,3731.478705734844,0.04583563,0.04554094,0.10216644293842325,-0.000497592,41,5.108322146921163e-05,0.04548985679503889
38,22,3731.7912057269496,0.047085688,0.046810128,0.10473686734203547,-0.00046524417,41,5.2368433671017734e-05,0.046757759361071564
39,22,3732.103705719055,0.04833559,0.048045408,0.10508142454364489,-0.00043245393,41,5.2540712271822444e-05,0.047992867268408644
40,22,3732.4163057111728,0.049585976,0.04927876,0.10740648533000652,-0.00039922775,41,5.370324266500326e-05,0.04922505522357874
41,22,3732.7287057032663,0.050835703,0.050528172,0.10793909739586804,-0.00036558238,41,5.3969548697934024e-05,0.050474202854876055
42,22,3733.053805695061,0.052136034,0.051938776,0.1095673110394122,-0.00032993982,41,5.4783655519706096e-05,0.05188399227130868
43,22,3733.378905686841,0.053436343,0.053238142,0.11134889397005132,-0.0002936079,40,5.567444698502566e-05,0.05318246783478568
44,22,3733.691305678949,0.054686066,0.054491777,0.11361331619151116,-0.0002581485,40,5.680665809575558e-05,0.05443497031491335
45,22,3734.003905671052,0.055936445,0.0557465,0.11421967621183304,-0.00022220578,40,5.710983810591652e-05,0.055689389610908746
46,22,3734.3164056631576,0.05718635,0.056993086,0.11514274896669419,-0.00018603978,40,5.757137448334709e-05,0.05693551451652503
47,22,3734.628905655263,0.05843642,0.058244057,0.11567868728850872,-0.00014968264,40,5.783934364425436e-05,0.058186217656039124
48,22,3734.9415056473663,0.059686895,0.059479296,0.1171514564701206,-0.000112984875,40,5.8575728235060295e-05,0.05942072047919292
49,22,3735.2541056394693,0.06093719,0.060724095,0.11734641836397985,-7.604064e-05,40,5.8673209181989925e-05,0.06066542130089644
50,22,3735.5665056315775,0.062186774,0.06197876,0.11940540843912739,-3.876384e-05,40,5.97027042195637e-05,0.06191905840250994
51,22,3735.8791056236805,0.0634373,0.06323734,0.11987482217157197,-1.0402496e-06,40,5.993741108578598e-05,0.06317740184710818
52,22,3736.191605615786,0.06468723,0.06449121,0.12151496831562306,3.7006634e-05,40,6.075748415781153e-05,0.06443045488385367
53,22,3736.5041056078917,0.065937124,0.065740325,0.1220741101002103,7.541226e-05,40,6.103705505010515e-05,0.06567928750177744
54,22,3736.8167056000093,0.06718765,0.06700551,0.12301324734125862,0.000114071285,40,6.150662367062932e-05,0.06694400102432055
55,22,3737.129105592103,0.06843724,0.06826103,0.12354851687753143,0.00015290733,40,6.177425843876572e-05,0.06819925307768183
56,22,3737.441705584206,0.069687545,0.06949392,0.12550766183115014,0.00019217054,40,6.275383091557507e-05,0.0694311657800616
57,22,3737.754305576309,0.070938006,0.070754364,0.12609428223468205,0.00023182298,40,6.304714111734103e-05,0.07069131699176383
58,22,3738.066805568422,0.0721881,0.07201468,0.12717995613296518,0.0002717252,40,6.358997806648259e-05,0.07195109201684853
59,22,3738.37930556052,0.07343794,0.073264875,0.12739850777459072,0.00031181792,40,6.369925388729536e-05,0.07320117526403033
60,22,3738.691905552623,0.07468836,0.07450191,0.12925941084563064,0.00035222672,40,6.462970542281532e-05,0.07443727961016328
61,22,3739.0043055447313,0.07593808,0.07574851,0.12857164720029757,0.0003928175,40,6.428582360014879e-05,0.07568422483514085
62,22,3739.3169055368344,0.077188425,0.07699255,0.1299378888232534,0.00043358028,40,6.496894441162671e-05,0.07692758005775893
63,22,3739.6295055289374,0.07843871,0.07824841,0.1303149783152453,0.00047456467,40,6.515748915762265e-05,0.07818325392784982
64,22,3739.9419055210456,0.07968844,0.07949634,0.13203167529313253,0.0005158951,40,6.601583764656627e-05,0.07943032312586204
65,22,3740.2545055131486,0.080938846,0.08075927,0.1320364136340042,0.00055749447,40,6.60182068170021e-05,0.08069325377251496
66,22,3740.5671055052517,0.082189165,0.08201265,0.13343445027197998,0.0005993115,40,6.671722513598999e-05,0.08194593612569409
67,22,3740.87950549736,0.08343879,0.083255045,0.1335277103881879,0.000641332,40,6.676385519409395e-05,0.08318828126075363
68,22,3741.192105489463,0.0846893,0.084506966,0.13456258329553583,0.0006835396,40,6.728129164776792e-05,0.08443968488200107
69,22,3741.5046054815684,0.08593911,0.08575935,0.1343936227148128,0.0007258699,40,6.71968113574064e-05,0.08569215235598955
70,22,3741.817105473674,0.08718915,0.08700404,0.13534746093450822,0.0007683662,40,6.767373046725411e-05,0.08693636943140179
71,22,3742.129705465777,0.088439666,0.08825062,0.13533225881345112,0.0008110241,40,6.766612940672556e-05,0.08818295602387544
72,22,3742.442105457885,0.08968922,0.08949969,0.1373114944581535,0.00085398497,40,6.865574722907675e-05,0.08943103389138558
73,22,3742.754705450003,0.0909395,0.09075792,0.13687120231191785,0.00089715753,40,6.843560115595892e-05,0.0906894857369254
74,22,3743.0673054420913,0.09219003,0.092011526,0.13756158586744438,0.0009403481,40,6.878079293372218e-05,0.09194274543406365
75,22,3743.379805434197,0.09344006,0.09325608,0.13726320547343485,0.0009836038,40,6.863160273671742e-05,0.09318744705775141
76,22,3743.6923054263025,0.09468992,0.094509155,0.13891430694262352,0.0010271082,40,6.945715347131176e-05,0.09443969740471045
77,22,3744.0049054184055,0.09594039,0.09576941,0.13916219924203455,0.0010709101,40,6.958109962101727e-05,0.09569983171594981
78,22,3744.3173054105137,0.09719008,0.09702545,0.14135150368312588,0.001115063,40,7.067575184156293e-05,0.09695477084191988
79,22,3744.6299054026167,0.09844035,0.09826654,0.14084983173706123,0.0011594583,40,7.042491586853061e-05,0.09819611704198669
80,22,3744.94250539472,0.099690735,0.0995077,0.14191225314660438,0.0012040001,40,7.095612657330219e-05,0.09943674080002048
81,22,3745.254905386828,0.10094045,0.10075649,0.14156709547221136,0.0012486472,40,7.078354773610567e-05,0.10068570519270807
82,22,3745.567505378931,0.10219078,0.1020105,0.14332230459876077,0.0012935254,40,7.166115229938039e-05,0.10193884225899365
83,22,3745.880005371044,0.10344075,0.10328214,0.1433231952088463,0.0013386444,40,7.166159760442314e-05,0.10321047710764918
84,22,3746.192505363142,0.104690805,0.104520686,0.144249902134979,0.0013839259,40,7.212495106748951e-05,0.10444856101971574
